                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.81991,                0.75035,                 1.1913,                0.82353,                 0.8485,                0.91464,                0.77413,                0.65654,                0.58043,                 1.0778,               0.000416,               0.000416,               0.000416
                    122,                0.85766,                0.78105,                  1.204,                0.86886,                0.82517,                0.91861,                0.76803,                0.68572,                0.59072,                 1.1094,              0.0004028,              0.0004028,              0.0004028
                    123,                0.85068,                0.74682,                 1.2077,                0.86027,                0.86106,                0.91679,                0.78397,                 0.6582,                0.58654,                 1.0879,              0.0003896,              0.0003896,              0.0003896
                    124,                0.91143,                0.77401,                  1.193,                0.88316,                0.82517,                 0.9186,                0.76344,                0.69834,                 0.5938,                 1.0898,              0.0003764,              0.0003764,              0.0003764
                    125,                0.85211,                0.76893,                 1.1958,                0.86288,                0.83615,                0.91047,                0.77537,                0.67248,                0.60229,                 1.0944,              0.0003632,              0.0003632,              0.0003632
                    126,                0.83142,                0.74862,                 1.1766,                0.90307,                0.84696,                0.92508,                0.76751,                0.69234,                0.58152,                 1.0987,                0.00035,                0.00035,                0.00035
                    127,                0.85379,                0.77011,                  1.189,                0.85674,                0.83639,                0.92055,                0.77268,                0.68638,                0.58727,                 1.0854,              0.0003368,              0.0003368,              0.0003368
                    128,                0.80961,                0.73963,                 1.1931,                0.88771,                0.82517,                0.91429,                0.77073,                0.70673,                0.59429,                 1.0889,              0.0003236,              0.0003236,              0.0003236
                    129,                0.81684,                0.75723,                 1.1823,                0.84854,                0.84615,                0.90975,                0.76479,                0.68061,                0.55565,                 1.0895,              0.0003104,              0.0003104,              0.0003104
                    130,                0.81453,                0.73124,                 1.1726,                0.91083,                 0.8042,                0.91184,                0.76575,                0.68092,                0.59686,                 1.0885,              0.0002972,              0.0002972,              0.0002972
                    131,                0.83435,                0.74685,                 1.1685,                0.84675,                0.83916,                 0.9152,                0.76854,                0.69154,                0.58893,                  1.091,               0.000284,               0.000284,               0.000284
                    132,                0.80336,                0.70335,                 1.1503,                0.85795,                0.83217,                 0.9222,                0.77137,                0.69828,                0.59528,                 1.0954,              0.0002708,              0.0002708,              0.0002708
                    133,                0.79886,                0.71542,                  1.183,                0.84158,                0.85446,                0.91976,                 0.7761,                0.69053,                0.57981,                 1.0939,              0.0002576,              0.0002576,              0.0002576
                    134,                0.82557,                0.72994,                 1.1827,                0.88691,                0.82264,                0.92638,                0.77492,                0.68261,                0.57659,                 1.0914,              0.0002444,              0.0002444,              0.0002444
                    135,                0.84486,                 0.7427,                 1.1669,                0.90439,                0.86014,                0.92584,                0.78008,                 0.6587,                0.57619,                 1.0745,              0.0002312,              0.0002312,              0.0002312
                    136,                0.81065,                0.74148,                 1.1738,                0.88414,                0.83217,                0.92024,                 0.7742,                0.68208,                0.59191,                 1.0894,               0.000218,               0.000218,               0.000218
                    137,                 0.7767,                0.70082,                 1.1533,                0.87401,                0.84615,                0.92084,                0.77949,                0.66826,                0.56377,                 1.0792,              0.0002048,              0.0002048,              0.0002048
